number,value,datetime_start,datetime_complete,duration,params_mask_thr,params_nms_thr,params_score_thr,state
95,0.21928216011204663,2021-12-18 03:37:46.529725,2021-12-18 03:39:08.003139,0 days 00:01:21.473414,0.692334488059576,0.2657781433067924,0.5442741426723853,COMPLETE
96,0.22580899182747355,2021-12-18 03:39:08.014464,2021-12-18 03:40:30.120643,0 days 00:01:22.106179,0.5401086415693321,0.34587007070444503,0.4598052544274433,COMPLETE
97,0.22593305901086402,2021-12-18 03:40:30.122858,2021-12-18 03:41:53.917189,0 days 00:01:23.794331,0.5456014179710622,0.306936606123704,0.4687401602097166,COMPLETE
98,0.17040473463530129,2021-12-18 03:41:53.918943,2021-12-18 03:43:16.157519,0 days 00:01:22.238576,0.05910227804459761,0.30665823588647123,0.46315543672595183,COMPLETE
99,0.22516428441494107,2021-12-18 03:43:16.173161,2021-12-18 03:44:37.936768,0 days 00:01:21.763607,0.5530657373782799,0.4437078652808319,0.33468616705274923,COMPLETE
100,0.2218523505073192,2021-12-18 03:44:37.938851,2021-12-18 03:45:58.177243,0 days 00:01:20.238392,0.6556254066221313,0.17905604437747907,0.382846592818456,COMPLETE
101,0.22522772277830302,2021-12-18 03:45:58.178874,2021-12-18 03:47:20.204279,0 days 00:01:22.025405,0.5381148199030616,0.3798464008920668,0.4918892161683918,COMPLETE
102,0.22490201360130382,2021-12-18 03:47:20.217740,2021-12-18 03:48:41.127665,0 days 00:01:20.909925,0.6144486264797632,0.23896350834665758,0.442362807095429,COMPLETE
103,0.22533250480529482,2021-12-18 03:48:41.129264,2021-12-18 03:49:58.818618,0 days 00:01:17.689354,0.5773407359295629,0.3125200994680996,0.5335003328061074,COMPLETE
104,0.22574640834197945,2021-12-18 03:49:58.820690,2021-12-18 03:51:19.311510,0 days 00:01:20.490820,0.540659310582701,0.2703646131003116,0.47268760474323157,COMPLETE
105,0.22488789109140414,2021-12-18 03:51:19.323037,2021-12-18 03:52:38.435839,0 days 00:01:19.112802,0.470440893859481,0.2684029105049285,0.45319705970230806,COMPLETE
106,0.22564609388877388,2021-12-18 03:52:38.437461,2021-12-18 03:53:58.840465,0 days 00:01:20.403004,0.5324484946584536,0.39571943651456654,0.3535455373816696,COMPLETE
107,0.22599301807285857,2021-12-18 03:53:58.842733,2021-12-18 03:55:20.074077,0 days 00:01:21.231344,0.5545353615019736,0.2187888083612493,0.3389695558700918,COMPLETE
